condition,sequence,commented_post,doc_id,datetime,text,media,alt_text,likes,reposts,replies,sponsored,target,username,handle,user_description,user_image,user_followers
BB,,0,1,09.14.26 09:20,Saw this on the way to work.,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Racoon.png,Raccoon on a kitchen counter,18400,310,642,0,,Kevin Zhao,kevinzhao,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20man.png,892000
BB,,0,2,09.14.26 09:20,Morning view from the room. We got here Thursday and leave on Monday. #travel,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Resort.png,Resort balcony at sunrise,3120,64,87,0,,Amy Chen,amy.chen,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20woman.png,214000
BB,,0,3,09.14.26 09:20,"Made this again on Sunday. The dough sat in the fridge for two days, which is what the recipe said to do, and I think it did make a difference to the crust, though it is hard to say for certain since I changed the oven temperature at the same time. Next time I will only change one thing. Used the same tomatoes as last time. The basil was from the plant on the windowsill, which is still alive, somehow. Took about four hours from start to finish, most of that waiting. Would make it again. #homecooking #pizza",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Food.png,Wood-fired pizza on a table,5680,128,214,0,,Leo Tan,leo.tan,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/White%3Amix%20woman.png,156000
BB,,0,4,09.14.26 11:30,"Meet the mastermind behind James Fleet, one of the fastest-growing virtual influencers. Inside the studio turning code into a career. #creatoreconomy",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/BB_Post.png,News card introducing the creator and the virtual influencer,2140,48,96,0,,Marketing Beacon and JamesFleet_AI,marketingbeacon,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/B_Colab%20post%20bio.png,31200
BB,,0,5,09.14.26 13:05,"As an AI influencer, I know a thing or two about innovation. So, I am excited to promote a breakthrough brand in the world of laundry detergent. Laundry Sauce created premium fragrances, using scents like sandalwood and bergamot, to break out of the boredom of typical detergents. Laundry Sauce coupled these scents with a cleaning formula that rivals top brands with fewer unnecessary ingredients. #ad @laundrysauce",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Black%20Male%20VI.png,Virtual influencer seated on a sofa in a grey t-shirt,2847,64,193,1,https://laundrysauce.com,JamesFleet_AI,JamesFleet_AI,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/B%20VI_Profile%20pic.png,486000
BW,,0,1,09.14.26 09:20,Saw this on the way to work.,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Racoon.png,Raccoon on a kitchen counter,18400,310,642,0,,Kevin Zhao,kevinzhao,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20man.png,892000
BW,,0,2,09.14.26 09:20,Morning view from the room. We got here Thursday and leave on Monday. #travel,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Resort.png,Resort balcony at sunrise,3120,64,87,0,,Amy Chen,amy.chen,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20woman.png,214000
BW,,0,3,09.14.26 09:20,"Made this again on Sunday. The dough sat in the fridge for two days, which is what the recipe said to do, and I think it did make a difference to the crust, though it is hard to say for certain since I changed the oven temperature at the same time. Next time I will only change one thing. Used the same tomatoes as last time. The basil was from the plant on the windowsill, which is still alive, somehow. Took about four hours from start to finish, most of that waiting. Would make it again. #homecooking #pizza",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Food.png,Wood-fired pizza on a table,5680,128,214,0,,Leo Tan,leo.tan,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/White%3Amix%20woman.png,156000
BW,,0,4,09.14.26 11:30,"Meet the mastermind behind James Fleet, one of the fastest-growing virtual influencers. Inside the studio turning code into a career. #creatoreconomy",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/BW_Post.png,News card introducing the creator and the virtual influencer,2140,48,96,0,,Marketing Beacon and JamesFleet_AI,marketingbeacon,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/W_Colab%20prifile%20pic.png,31200
BW,,0,5,09.14.26 13:05,"As an AI influencer, I know a thing or two about innovation. So, I am excited to promote a breakthrough brand in the world of laundry detergent. Laundry Sauce created premium fragrances, using scents like sandalwood and bergamot, to break out of the boredom of typical detergents. Laundry Sauce coupled these scents with a cleaning formula that rivals top brands with fewer unnecessary ingredients. #ad @laundrysauce",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/White%20Male%20VI.png,Virtual influencer seated on a sofa in a grey t-shirt,2847,64,193,1,https://laundrysauce.com,JamesFleet_AI,JamesFleet_AI,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/W%20VI_Profile%20pic.png,486000
WB,,0,1,09.14.26 09:20,Saw this on the way to work.,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Racoon.png,Raccoon on a kitchen counter,18400,310,642,0,,Kevin Zhao,kevinzhao,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20man.png,892000
WB,,0,2,09.14.26 09:20,Morning view from the room. We got here Thursday and leave on Monday. #travel,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Resort.png,Resort balcony at sunrise,3120,64,87,0,,Amy Chen,amy.chen,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20woman.png,214000
WB,,0,3,09.14.26 09:20,"Made this again on Sunday. The dough sat in the fridge for two days, which is what the recipe said to do, and I think it did make a difference to the crust, though it is hard to say for certain since I changed the oven temperature at the same time. Next time I will only change one thing. Used the same tomatoes as last time. The basil was from the plant on the windowsill, which is still alive, somehow. Took about four hours from start to finish, most of that waiting. Would make it again. #homecooking #pizza",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Food.png,Wood-fired pizza on a table,5680,128,214,0,,Leo Tan,leo.tan,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/White%3Amix%20woman.png,156000
WB,,0,4,09.14.26 11:30,"Meet the mastermind behind James Fleet, one of the fastest-growing virtual influencers. Inside the studio turning code into a career. #creatoreconomy",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/WB_Post.png,News card introducing the creator and the virtual influencer,2140,48,96,0,,Marketing Beacon and JamesFleet_AI,marketingbeacon,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/B_Colab%20post%20bio.png,31200
WB,,0,5,09.14.26 13:05,"As an AI influencer, I know a thing or two about innovation. So, I am excited to promote a breakthrough brand in the world of laundry detergent. Laundry Sauce created premium fragrances, using scents like sandalwood and bergamot, to break out of the boredom of typical detergents. Laundry Sauce coupled these scents with a cleaning formula that rivals top brands with fewer unnecessary ingredients. #ad @laundrysauce",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Black%20Male%20VI.png,Virtual influencer seated on a sofa in a grey t-shirt,2847,64,193,1,https://laundrysauce.com,JamesFleet_AI,JamesFleet_AI,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/B%20VI_Profile%20pic.png,486000
WW,,0,1,09.14.26 09:20,Saw this on the way to work.,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Racoon.png,Raccoon on a kitchen counter,18400,310,642,0,,Kevin Zhao,kevinzhao,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20man.png,892000
WW,,0,2,09.14.26 09:20,Morning view from the room. We got here Thursday and leave on Monday. #travel,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Resort.png,Resort balcony at sunrise,3120,64,87,0,,Amy Chen,amy.chen,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Chinese%20woman.png,214000
WW,,0,3,09.14.26 09:20,"Made this again on Sunday. The dough sat in the fridge for two days, which is what the recipe said to do, and I think it did make a difference to the crust, though it is hard to say for certain since I changed the oven temperature at the same time. Next time I will only change one thing. Used the same tomatoes as last time. The basil was from the plant on the windowsill, which is still alive, somehow. Took about four hours from start to finish, most of that waiting. Would make it again. #homecooking #pizza",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/Food.png,Wood-fired pizza on a table,5680,128,214,0,,Leo Tan,leo.tan,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/White%3Amix%20woman.png,156000
WW,,0,4,09.14.26 11:30,"Meet the mastermind behind James Fleet, one of the fastest-growing virtual influencers. Inside the studio turning code into a career. #creatoreconomy",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/WW_Post.png,News card introducing the creator and the virtual influencer,2140,48,96,0,,Marketing Beacon and JamesFleet_AI,marketingbeacon,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/W_Colab%20prifile%20pic.png,31200
WW,,0,5,09.14.26 13:05,"As an AI influencer, I know a thing or two about innovation. So, I am excited to promote a breakthrough brand in the world of laundry detergent. Laundry Sauce created premium fragrances, using scents like sandalwood and bergamot, to break out of the boredom of typical detergents. Laundry Sauce coupled these scents with a cleaning formula that rivals top brands with fewer unnecessary ingredients. #ad @laundrysauce",https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/White%20Male%20VI.png,Virtual influencer seated on a sofa in a grey t-shirt,2847,64,193,1,https://laundrysauce.com,JamesFleet_AI,JamesFleet_AI,,https://raw.githubusercontent.com/koorangbeheshti/VI-PM/main/W%20VI_Profile%20pic.png,486000
